engine,format,threads,model_size_mb,clip_s,n_runs,latency_mean_ms,latency_p95_ms,latency_p99_ms,rtf,align_f1,status
silero,onnx,1,2.219700,10.0,50,64.771932,72.138110,72.970340,0.006477,1.000000,ok
silero,onnx,2,2.219700,10.0,50,59.680492,66.957165,70.076053,0.005968,1.000000,ok
silero,onnx,4,2.219700,10.0,50,54.903798,59.594315,60.349855,0.005490,1.000000,ok
firered,onnx,1,2.277840,10.0,50,33.176004,37.018445,38.560564,0.003318,1.000000,ok
firered,onnx,2,2.277840,10.0,50,26.797600,30.614240,32.133818,0.002680,1.000000,ok
firered,onnx,4,2.277840,10.0,50,25.480112,28.938355,29.906673,0.002548,1.000000,ok
funasr_fsmn,onnx,1,1.650264,10.0,50,121.159242,128.412835,129.404902,0.012116,1.000000,ok
funasr_fsmn,onnx,2,1.650264,10.0,50,118.374668,124.694955,126.907705,0.011837,1.000000,ok
funasr_fsmn,onnx,4,1.650264,10.0,50,118.813698,128.676260,131.218913,0.011881,1.000000,ok
pyannote,onnx,1,5.642248,10.0,50,37.416918,40.099625,40.960437,0.003742,1.000000,ok
pyannote,onnx,2,5.642248,10.0,50,27.272364,30.713630,32.564302,0.002727,1.000000,ok
pyannote,onnx,4,5.642248,10.0,50,25.385510,29.909310,37.053838,0.002539,1.000000,ok
webrtc,native,n/a,,10.0,50,2.331562,3.445610,3.650680,0.000233,,ok
